time,open,high,low,close,tick_volume,spread,real_volume
2011-03-24 00:00:00,0.83,0.9,0.82,0.87,14009,0,0
2011-03-25 00:00:00,0.87,0.89,0.86,0.89,4819,0,0
2011-03-26 00:00:00,0.88,0.9,0.84,0.85,11756,0,0
2011-03-27 00:00:00,0.83,0.87,0.82,0.82,5337,0,0
2011-03-28 00:00:00,0.82,0.85,0.76,0.8,12565,0,0
2011-03-29 00:00:00,0.8,0.8,0.77,0.79,4215,0,0
2011-03-30 00:00:00,0.79,0.79,0.76,0.79,3218,0,0
2011-03-31 00:00:00,0.79,0.8,0.77,0.78,6875,0,0
2011-04-01 00:00:00,0.79,0.8,0.78,0.78,3186,0,0
2011-04-02 00:00:00,0.77,0.8,0.77,0.78,2493,0,0
2011-04-03 00:00:00,0.78,0.79,0.77,0.78,3931,0,0
2011-04-04 00:00:00,0.78,0.79,0.56,0.68,31155,0,0
2011-04-05 00:00:00,0.68,0.75,0.58,0.71,9730,0,0
2011-04-06 00:00:00,0.71,0.75,0.69,0.74,8703,0,0
2011-04-07 00:00:00,0.74,0.79,0.72,0.75,10832,0,0
2011-04-08 00:00:00,0.75,0.8,0.73,0.75,18207,0,0
2011-04-09 00:00:00,0.75,0.77,0.72,0.73,12119,0,0
2011-04-10 00:00:00,0.73,0.76,0.71,0.74,5348,0,0
2011-04-11 00:00:00,0.74,0.8,0.71,0.77,14645,0,0
2011-04-12 00:00:00,0.77,0.9,0.77,0.86,48417,0,0
2011-04-13 00:00:00,0.86,1.0,0.86,0.92,43397,0,0
2011-04-14 00:00:00,0.92,1.0,0.91,1.0,31111,0,0
2011-04-15 00:00:00,1.0,1.09,0.91,0.99,50304,0,0
2011-04-16 00:00:00,0.98,1.09,0.95,1.05,28869,0,0
2011-04-17 00:00:00,1.05,1.1400000000000001,1.03,1.11,24225,0,0
2011-04-18 00:00:00,1.11,1.2,1.11,1.16,27478,0,0
2011-04-19 00:00:00,1.16,1.2,1.1400000000000001,1.2,12556,0,0
2011-04-20 00:00:00,1.18,1.2,1.13,1.1400000000000001,21344,0,0
2011-04-21 00:00:00,1.1400000000000001,1.21,1.1400000000000001,1.21,39295,0,0
2011-04-22 00:00:00,1.21,1.41,1.19,1.41,39415,0,0
2011-04-23 00:00:00,1.3900000000000001,1.95,1.32,1.7,66620,0,0
2011-04-24 00:00:00,1.7,1.95,1.6,1.63,21541,0,0
2011-04-25 00:00:00,1.63,1.7,1.52,1.56,13471,0,0
2011-04-26 00:00:00,1.56,1.8,1.53,1.8,24054,0,0
2011-04-27 00:00:00,1.78,1.95,1.72,1.9,33055,0,0
2011-04-28 00:00:00,1.8900000000000001,2.65,1.6600000000000001,2.21,100238,0,0
2011-04-29 00:00:00,2.21,2.95,2.21,2.88,57577,0,0
2011-04-30 00:00:00,2.88,4.15,2.75,3.5,65427,0,0
2011-05-01 00:00:00,3.5,3.87,2.5,3.03,45772,0,0
2011-05-02 00:00:00,3.03,3.49,3.03,3.2,18333,0,0
2011-05-03 00:00:00,3.2,3.49,3.11,3.41,16919,0,0
2011-05-04 00:00:00,3.41,3.58,3.25,3.41,17278,0,0
2011-05-05 00:00:00,3.4,3.45,3.33,3.33,15350,0,0
2011-05-06 00:00:00,3.33,3.61,3.29,3.45,23014,0,0
2011-05-07 00:00:00,3.45,3.7,3.42,3.64,17833,0,0
2011-05-08 00:00:00,3.64,3.94,3.63,3.87,21132,0,0
2011-05-09 00:00:00,3.87,3.9,3.69,3.8,11520,0,0
2011-05-10 00:00:00,3.8,5.99,3.8,5.8100000000000005,56217,0,0
2011-05-11 00:00:00,5.75,6.07,4.6,5.5,52569,0,0
2011-05-12 00:00:00,5.49,6.49,5.22,6.3,31722,0,0
2011-05-13 00:00:00,6.3,8.45,6.3,8.2,64003,0,0
2011-05-14 00:00:00,8.12,8.9,5.83,7.2,55390,0,0
2011-05-15 00:00:00,7.0,7.78,6.2,6.98,18294,0,0
2011-05-16 00:00:00,6.99,8.5,6.75,8.04,44141,0,0
2011-05-17 00:00:00,7.9,8.39,6.98,7.19,35345,0,0
2011-05-18 00:00:00,7.19,7.5,6.6,6.88,25403,0,0
2011-05-19 00:00:00,6.7,7.34,6.61,6.8100000000000005,24436,0,0
2011-05-20 00:00:00,6.8100000000000005,7.11,5.58,5.59,44460,0,0
2011-05-21 00:00:00,5.59,6.52,5.58,6.12,31111,0,0
2011-05-22 00:00:00,6.12,6.76,5.99,6.6899999999999995,23872,0,0
2011-05-23 00:00:00,6.6899999999999995,7.45,6.6899999999999995,7.15,35279,0,0
2011-05-24 00:00:00,7.15,7.51,6.96,7.42,29282,0,0
2011-05-25 00:00:00,7.42,9.33,7.22,8.4,64049,0,0
2011-05-26 00:00:00,8.25,8.99,8.01,8.8,28644,0,0
2011-05-27 00:00:00,8.7,8.83,8.5,8.5,14431,0,0
2011-05-28 00:00:00,8.5,8.7,8.11,8.3,12247,0,0
2011-05-29 00:00:00,8.3,8.49,8.1,8.43,7487,0,0
