time,open,high,low,close,tick_volume,spread,real_volume
2024-12-30 02:00:00,1.04295,1.04314,1.04259,1.04276,1388,0,0
2024-12-30 03:00:00,1.04276,1.04311,1.04253,1.04255,1171,0,0
2024-12-30 04:00:00,1.04255,1.04276,1.04242,1.04258,1165,0,0
2024-12-30 05:00:00,1.04258,1.04258,1.04211,1.04247,1220,0,0
2024-12-30 06:00:00,1.04247,1.04262,1.04244,1.04254,950,0,0
2024-12-30 07:00:00,1.04254,1.04268,1.0423,1.04253,1181,0,0
2024-12-30 08:00:00,1.04253,1.04316,1.0425200000000001,1.04289,1669,0,0
2024-12-30 09:00:00,1.04287,1.0429599999999999,1.04211,1.0427,2965,0,0
2024-12-30 10:00:00,1.04267,1.04299,1.04094,1.04128,4288,0,0
2024-12-30 11:00:00,1.04128,1.04395,1.0411,1.04341,4319,0,0
2024-12-30 12:00:00,1.04341,1.04442,1.04329,1.04383,4314,0,0
2024-12-30 13:00:00,1.04383,1.04524,1.0437,1.04481,3699,0,0
2024-12-30 14:00:00,1.04481,1.04584,1.04391,1.04494,4258,0,0
2024-12-30 15:00:00,1.04494,1.04521,1.03852,1.03881,7099,0,0
2024-12-30 16:00:00,1.03881,1.0409,1.03799,1.04054,8660,0,0
2024-12-30 17:00:00,1.04054,1.04059,1.03717,1.03804,9091,0,0
2024-12-30 18:00:00,1.03805,1.03917,1.03749,1.03859,6885,0,0
2024-12-30 19:00:00,1.03859,1.03955,1.03846,1.03942,4594,0,0
2024-12-30 20:00:00,1.03943,1.04072,1.03938,1.04046,3765,0,0
2024-12-30 21:00:00,1.04046,1.04054,1.0396,1.03965,3681,0,0
2024-12-30 22:00:00,1.03964,1.04052,1.03952,1.03988,2985,1,0
2024-12-30 23:00:00,1.03988,1.04068,1.03984,1.04064,1169,1,0
2024-12-31 00:00:00,1.03993,1.04051,1.0394,1.04042,405,10,0
2024-12-31 01:00:00,1.04043,1.0406,1.03975,1.04057,1043,0,0
2024-12-31 02:00:00,1.04057,1.0406,1.03971,1.04035,1365,0,0
2024-12-31 03:00:00,1.04036,1.04134,1.04022,1.04122,2671,0,0
2024-12-31 04:00:00,1.04122,1.0415,1.04081,1.04126,1839,0,0
2024-12-31 05:00:00,1.04127,1.04135,1.04074,1.04088,1360,0,0
2024-12-31 06:00:00,1.04087,1.04093,1.04038,1.04044,1081,0,0
2024-12-31 07:00:00,1.04043,1.04078,1.04026,1.04039,1071,0,0
2024-12-31 08:00:00,1.04039,1.0406,1.03997,1.04039,1690,0,0
2024-12-31 09:00:00,1.04039,1.0413000000000001,1.04024,1.04119,2875,0,0
2024-12-31 10:00:00,1.04119,1.04201,1.04059,1.04183,4445,0,0
2024-12-31 11:00:00,1.04183,1.04245,1.04117,1.04187,4223,0,0
2024-12-31 12:00:00,1.04186,1.04201,1.04054,1.04131,4526,0,0
2024-12-31 13:00:00,1.04131,1.04194,1.04054,1.04104,3180,0,0
2024-12-31 14:00:00,1.04104,1.04145,1.03913,1.03929,3991,0,0
2024-12-31 15:00:00,1.03929,1.03974,1.03835,1.03931,5807,0,0
2024-12-31 16:00:00,1.03932,1.03943,1.03749,1.03761,7108,0,0
2024-12-31 17:00:00,1.03761,1.03893,1.03526,1.03548,9859,0,0
2024-12-31 18:00:00,1.03548,1.03614,1.0346899999999999,1.03503,7148,0,0
2024-12-31 19:00:00,1.03504,1.0355,1.0344,1.03485,6008,0,0
2024-12-31 20:00:00,1.03487,1.03568,1.03456,1.03531,4473,0,0
2024-12-31 21:00:00,1.03531,1.03648,1.03517,1.03548,3274,0,0
2025-01-02 00:00:00,1.035,1.03567,1.03414,1.03549,358,4,0
2025-01-02 01:00:00,1.0354,1.03566,1.03464,1.03509,1707,0,0
2025-01-02 02:00:00,1.0351,1.03565,1.03474,1.03521,2156,0,0
2025-01-02 03:00:00,1.03521,1.03609,1.03444,1.03579,3679,0,0
2025-01-02 04:00:00,1.03579,1.03713,1.03578,1.0371,1627,0,0
